"company","category","size","title","level","city","url","updated"
"Lightricks","Digital Media","l","Creative & Motion Designer, LTX Studio","Designer","ירושלים","https://il.linkedin.com/jobs/view/creative-motion-designer-ltx-studio-at-lightricks-4384067022?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-07"
"Nvidia","AI/ML","l","Physical Design Engineer","Designer","תל אביב-יפו","https://il.linkedin.com/jobs/view/physical-design-engineer-at-nvidia-4395490429?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-07"
"Nvidia","AI/ML","l","Physical Design Backend Engineer","Designer","תל אביב-יפו","https://il.linkedin.com/jobs/view/physical-design-backend-engineer-at-nvidia-4395471501?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-07"
"Nvidia","AI/ML","l","Physical Design CAD Engineer","Designer","תל אביב-יפו","https://il.linkedin.com/jobs/view/physical-design-cad-engineer-at-nvidia-4395486229?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-07"
"Intel","Semiconductors","l","SOC Design Power Architect","Designer","חיפה","https://il.linkedin.com/jobs/view/soc-design-power-architect-at-intel-4374985757?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-07"
"Nvidia","AI/ML","l","Chip Design Engineer","Designer","תל אביב-יפו","https://il.linkedin.com/jobs/view/chip-design-engineer-at-nvidia-4395489159?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-07"
"Nvidia","AI/ML","l","Layout Physical Design Engineer","Designer","תל אביב-יפו","https://il.linkedin.com/jobs/view/layout-physical-design-engineer-at-nvidia-4395488246?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-07"
"Nvidia","AI/ML","l","Manager, Chip Design","Manager","תל אביב-יפו","https://il.linkedin.com/jobs/view/manager-chip-design-at-nvidia-4395489142?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-07"
"Nvidia","AI/ML","l","Physical Design Signoff CAD Engineer","Designer","יקנעם עילית","https://il.linkedin.com/jobs/view/physical-design-signoff-cad-engineer-at-nvidia-4395479199?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-07"
"Nvidia","AI/ML","l","Physical Design Power Integrity Engineer","Designer","רעננה","https://il.linkedin.com/jobs/view/physical-design-power-integrity-engineer-at-nvidia-4395476299?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-07"
"Nvidia","AI/ML","l","Senior Power Design Engineer","Designer","יקנעם עילית","https://il.linkedin.com/jobs/view/senior-power-design-engineer-at-nvidia-4395471422?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-07"
"Nvidia","AI/ML","l","Physical Design Power Optimization Engineer","Designer","תל אביב-יפו","https://il.linkedin.com/jobs/view/physical-design-power-optimization-engineer-at-nvidia-4395468628?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-07"
"Nvidia","AI/ML","l","Senior Physical Design Engineer","Designer","תל אביב-יפו","https://il.linkedin.com/jobs/view/senior-physical-design-engineer-at-nvidia-4395490079?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-07"
"Nvidia","AI/ML","l","Senior Physical Design Backend Engineer","Designer","תל אביב-יפו","https://il.linkedin.com/jobs/view/senior-physical-design-backend-engineer-at-nvidia-4395486249?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-07"
"Nvidia","AI/ML","l","Logic Design Engineer, CPU Core","Designer","יקנעם עילית","https://il.linkedin.com/jobs/view/logic-design-engineer-cpu-core-at-nvidia-4395480200?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-07"
"Nvidia","AI/ML","l","Senior Chip Design Engineer","Designer","תל אביב-יפו","https://il.linkedin.com/jobs/view/senior-chip-design-engineer-at-nvidia-4395491045?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-07"
"Nvidia","AI/ML","l","Senior Mechanical JIGs Designer","Designer","יקנעם עילית","https://il.linkedin.com/jobs/view/senior-mechanical-jigs-designer-at-nvidia-4395484262?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-07"
"Nvidia","AI/ML","l","Senior Design-for-Test Engineer, ATPG","Designer","תל אביב-יפו","https://il.linkedin.com/jobs/view/senior-design-for-test-engineer-atpg-at-nvidia-4395485438?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-07"
"Nvidia","AI/ML","l","Senior PCB Design For Manufacturing Engineer","Designer","יקנעם עילית","https://il.linkedin.com/jobs/view/senior-pcb-design-for-manufacturing-engineer-at-nvidia-4395478305?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-07"
"Nvidia","AI/ML","l","SoC Clocks Design Automation Engineer","Designer","תל אביב-יפו","https://il.linkedin.com/jobs/view/soc-clocks-design-automation-engineer-at-nvidia-4395468922?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-07"
"Nvidia","AI/ML","l","Senior Chip Design RTL Engineer","Designer","תל אביב-יפו","https://il.linkedin.com/jobs/view/senior-chip-design-rtl-engineer-at-nvidia-4395475362?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-07"
"Nvidia","AI/ML","l","Senior Test Design Architect","Designer","יקנעם עילית","https://il.linkedin.com/jobs/view/senior-test-design-architect-at-nvidia-4395481248?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-07"
"Nvidia","AI/ML","l","Senior Chip Design RTL Design Engineer","Designer","תל אביב-יפו","https://il.linkedin.com/jobs/view/senior-chip-design-rtl-design-engineer-at-nvidia-4395483233?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-07"
"Nvidia","AI/ML","l","High Speed Optical Transceiver Design Engineer","Designer","יקנעם עילית","https://il.linkedin.com/jobs/view/high-speed-optical-transceiver-design-engineer-at-nvidia-4395486137?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-07"
"Nvidia","AI/ML","l","Senior PCB Design Layout Engineer","Designer","יקנעם עילית","https://il.linkedin.com/jobs/view/senior-pcb-design-layout-engineer-at-nvidia-4395481323?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-07"
